feature,importance,model,importance_type
risk_score,0.5481242314234389,GradientBoostingRegressor,tree_feature_importance
month,0.08311374357304319,GradientBoostingRegressor,tree_feature_importance
ndvi,0.08192634605309652,GradientBoostingRegressor,tree_feature_importance
salinity_index,0.07849693373438855,GradientBoostingRegressor,tree_feature_importance
temperature_c,0.06507482411380597,GradientBoostingRegressor,tree_feature_importance
year,0.039926468724071476,GradientBoostingRegressor,tree_feature_importance
soil_moisture,0.031108871607738783,GradientBoostingRegressor,tree_feature_importance
bsi,0.022546695734470677,GradientBoostingRegressor,tree_feature_importance
aerosol_index,0.02060483731119202,GradientBoostingRegressor,tree_feature_importance
wind_speed,0.016287812967046768,GradientBoostingRegressor,tree_feature_importance
precipitation_mm,0.011086826096672915,GradientBoostingRegressor,tree_feature_importance
aod,0.0011372661020746227,GradientBoostingRegressor,tree_feature_importance
ndsi,0.000565142558959585,GradientBoostingRegressor,tree_feature_importance
